"","Kttm","expiryDate","ttm","strike","putDcall","callPrice","putPrice","X","impliedSPXF","impliedR","impliedDividend","Tree"
"1",1000.00198412698,2020-01-17,0.0198412698412698,1000,-2265.325,2265.35,0.025,0,3266.32034765843,0.0201910078703158,-234.714389345194,0
"2",1100.00198412698,2020-01-17,0.0198412698412698,1100,-2165.375,2165.4,0.025,1,3266.32034765843,0.0201910078703158,-234.714389345194,0
"3",1150.00198412698,2020-01-17,0.0198412698412698,1150,-2115.575,2115.6,0.025,2,3266.32034765843,0.0201910078703158,-234.714389345194,0
"4",1200.00198412698,2020-01-17,0.0198412698412698,1200,-2065.575,2065.6,0.025,3,3266.32034765843,0.0201910078703158,-234.714389345194,0
"5",1225.00198412698,2020-01-17,0.0198412698412698,1225,-2040.575,2040.6,0.025,4,3266.32034765843,0.0201910078703158,-234.714389345194,0
"6",1250.00198412698,2020-01-17,0.0198412698412698,1250,-2015.625,2015.65,0.025,5,3266.32034765843,0.0201910078703158,-234.714389345194,0
"7",1275.00198412698,2020-01-17,0.0198412698412698,1275,-1990.475,1990.5,0.025,6,3266.32034765843,0.0201910078703158,-234.714389345194,0
"8",1300.00198412698,2020-01-17,0.0198412698412698,1300,-1965.475,1965.5,0.025,7,3266.32034765843,0.0201910078703158,-234.714389345194,0
"9",1325.00198412698,2020-01-17,0.0198412698412698,1325,-1940.475,1940.5,0.025,8,3266.32034765843,0.0201910078703158,-234.714389345194,0
"10",1350.00198412698,2020-01-17,0.0198412698412698,1350,-1915.475,1915.5,0.025,9,3266.32034765843,0.0201910078703158,-234.714389345194,0
"11",1375.00198412698,2020-01-17,0.0198412698412698,1375,-1890.475,1890.5,0.025,10,3266.32034765843,0.0201910078703158,-234.714389345194,0
"12",1400.00198412698,2020-01-17,0.0198412698412698,1400,-1865.575,1865.6,0.025,11,3266.32034765843,0.0201910078703158,-234.714389345194,0
"13",1425.00198412698,2020-01-17,0.0198412698412698,1425,-1840.675,1840.7,0.025,12,3266.32034765843,0.0201910078703158,-234.714389345194,0
"14",1450.00198412698,2020-01-17,0.0198412698412698,1450,-1815.575,1815.6,0.025,13,3266.32034765843,0.0201910078703158,-234.714389345194,0
